Date,Open,Stock Price,Low,Close*,Adj. close**,Volume
10/15/2024,3.81,3.82,3.81,3.82,3.82,"114,770"
10/13/2024,3.83,3.83,3.8,3.81,3.81,"298,377"
10/6/2024,3.78,3.83,3.75,3.83,3.83,"843,386"
9/29/2024,3.81,3.85,3.75,3.76,3.76,"785,994"
9/22/2024,3.83,3.83,3.71,3.81,3.81,"789,098"
9/15/2024,3.81,3.84,3.7,3.82,3.82,"1,037,220"
9/8/2024,3.8,3.88,3.78,3.88,3.88,"1,503,914"
9/1/2024,3.88,3.91,3.77,3.82,3.6923,"639,778"
8/25/2024,3.72,3.94,3.68,3.88,3.7503,"673,953"
8/18/2024,3.78,3.8,3.67,3.68,3.557,"473,788"
8/11/2024,3.67,3.8,3.67,3.8,3.673,"816,810"
8/4/2024,3.68,3.74,3.66,3.67,3.5474,"853,632"
7/28/2024,3.7,3.75,3.68,3.68,3.557,"576,748"
7/21/2024,3.71,3.75,3.67,3.71,3.586,"629,605"
7/14/2024,3.69,3.73,3.67,3.72,3.5957,"441,553"
7/7/2024,3.72,3.73,3.68,3.7,3.5763,"308,212"
6/30/2024,3.71,3.73,3.66,3.72,3.5957,"359,576"
6/23/2024,3.74,3.75,3.69,3.71,3.586,"719,631"
6/16/2024,3.8,3.8,3.64,3.8,3.673,"923,455"
6/9/2024,3.76,3.88,3.71,3.78,3.6537,"649,689"
6/2/2024,3.7,3.8,3.7,3.78,3.6537,"496,885"
5/26/2024,3.65,3.76,3.65,3.76,3.6343,"999,787"
5/19/2024,3.64,3.68,3.62,3.66,3.5377,"555,696"
5/12/2024,3.62,3.75,3.61,3.65,3.528,"759,300"
5/5/2024,3.7,3.7,3.59,3.64,3.5184,"855,727"
4/28/2024,3.7,3.74,3.66,3.69,3.5667,"720,400"
4/21/2024,3.71,3.75,3.68,3.72,3.5957,"835,139"
4/14/2024,3.72,3.76,3.68,3.72,3.5957,"894,452"
4/7/2024,3.83,3.83,3.74,3.75,3.6247,"456,454"
3/31/2024,3.84,3.93,3.76,3.84,3.7117,"517,658"
3/24/2024,3.84,3.87,3.73,3.87,3.6503,"575,012"
3/17/2024,3.86,3.89,3.76,3.85,3.6315,"508,781"
3/10/2024,3.74,3.92,3.73,3.92,3.6975,"1,104,735"
3/3/2024,3.72,3.8,3.72,3.76,3.5466,"753,549"
2/25/2024,3.84,3.89,3.71,3.72,3.5088,"993,582"
2/18/2024,3.85,3.95,3.77,3.88,3.6598,"699,391"
2/11/2024,3.85,3.88,3.74,3.84,3.622,"993,990"
2/4/2024,3.77,3.84,3.72,3.84,3.622,"587,537"
1/28/2024,3.73,3.77,3.73,3.76,3.5466,"768,036"
1/21/2024,3.72,3.78,3.71,3.74,3.5277,"609,861"
1/14/2024,3.78,3.78,3.68,3.73,3.5183,"1,707,658"
1/7/2024,3.7,3.8,3.7,3.78,3.5654,"333,323"
12/31/2023,3.73,3.77,3.72,3.76,3.5466,"66,845"
12/24/2023,3.74,3.8,3.73,3.73,3.5183,"57,830"
12/17/2023,3.84,3.84,3.73,3.74,3.5277,"424,437"
12/10/2023,3.8,3.88,3.67,3.88,3.6598,"750,183"
12/3/2023,3.69,3.81,3.66,3.8,3.5843,"679,446"
11/26/2023,3.74,3.74,3.65,3.7,3.49,"634,900"
11/19/2023,3.68,3.75,3.65,3.74,3.5277,"640,073"
11/12/2023,3.7,3.78,3.67,3.74,3.5277,"662,314"
11/5/2023,3.68,3.77,3.68,3.72,3.5088,"616,887"
10/29/2023,3.72,3.75,3.63,3.68,3.4711,"938,832"
10/22/2023,3.85,3.86,3.71,3.71,3.4994,"957,485"
10/15/2023,3.87,3.89,3.85,3.85,3.6315,"870,834"
10/8/2023,3.87,3.9,3.85,3.87,3.6503,"751,803"
10/1/2023,3.9,3.91,3.85,3.88,3.6598,"772,862"
9/24/2023,3.9,4,3.88,3.95,3.7258,"823,276"
9/17/2023,3.85,3.9,3.85,3.9,3.6786,"1,782,152"
9/10/2023,3.88,3.9,3.86,3.88,3.6598,"2,026,780"
9/3/2023,4,4.04,3.86,3.88,3.5822,"893,034"
8/27/2023,4.01,4.04,4,4.01,3.7022,"798,647"
8/20/2023,4.01,4.03,4.01,4.01,3.7022,"637,098"
8/13/2023,4.07,4.07,4.01,4.01,3.7022,"1,215,453"
8/6/2023,4.03,4.1,4.03,4.04,3.7299,"838,401"
7/30/2023,4.03,4.05,4.02,4.03,3.7207,"1,071,660"
7/23/2023,4,4.04,4,4.03,3.7207,"1,137,364"
