Date,Open,High,Low,Close ,Adj Close ,Volume
8-Nov-24,2.7,2.75,2.7,2.7438,2.7438,"888,631"
4-Nov-24,2.64,2.75,2.64,2.75,2.75,"3,084,257"
28-Oct-24,2.695,2.72,2.61,2.63,2.63,"5,064,657"
21-Oct-24,2.74,2.75,2.665,2.7,2.7,"6,565,225"
14-Oct-24,2.78,2.79,2.655,2.77,2.77,"7,117,301"
7-Oct-24,2.91,2.91,2.74,2.77,2.77,"4,879,683"
30-Sep-24,2.86,2.9,2.745,2.89,2.89,"5,354,990"
23-Sep-24,2.98,2.98,2.785,2.85,2.85,"12,727,497"
16-Sep-24,3.1,3.115,2.96,2.975,2.975,"6,364,532"
9-Sep-24,3.24,3.275,3.07,3.115,2.9547,"2,618,139"
2-Sep-24,3.34,3.39,3.225,3.265,3.0969,"2,030,165"
26-Aug-24,3.64,3.64,3.28,3.33,3.1586,"4,089,039"
19-Aug-24,4,4,3.59,3.64,3.4526,"1,988,362"
12-Aug-24,3.995,4.045,3.935,4,3.7941,"1,852,881"
5-Aug-24,3.98,4.05,3.92,3.96,3.7562,"1,584,922"
29-Jul-24,3.78,4.06,3.78,4.045,3.8368,"2,187,230"
22-Jul-24,3.76,3.79,3.74,3.755,3.5617,"1,485,210"
15-Jul-24,3.77,3.805,3.71,3.75,3.557,"1,053,355"
8-Jul-24,3.7,3.785,3.66,3.74,3.5475,"1,852,447"
1-Jul-24,3.87,3.88,3.7,3.71,3.519,"1,611,429"
24-Jun-24,3.74,3.86,3.63,3.84,3.6424,"2,337,737"
17-Jun-24,3.76,3.81,3.67,3.74,3.5475,"3,981,791"
10-Jun-24,3.78,3.81,3.74,3.76,3.5665,"3,488,743"
3-Jun-24,3.81,3.84,3.755,3.79,3.5949,"1,588,108"
27-May-24,3.84,3.87,3.7,3.79,3.5949,"1,924,011"
20-May-24,3.86,3.935,3.805,3.83,3.6329,"1,860,048"
13-May-24,4.005,4.01,3.8,3.85,3.6518,"2,638,743"
6-May-24,4.14,4.14,3.925,3.98,3.7751,"3,123,427"
29-Apr-24,4.27,4.35,4.25,4.255,4.036,"1,661,552"
22-Apr-24,4.28,4.37,4.235,4.25,4.0313,"2,103,160"
15-Apr-24,4.29,4.32,4.25,4.285,4.0644,"1,200,287"
8-Apr-24,4.34,4.38,4.27,4.32,4.0976,"1,288,748"
1-Apr-24,4.4,4.405,4.33,4.37,4.1451,"1,312,578"
25-Mar-24,4.45,4.48,4.34,4.395,4.1688,"1,424,830"
18-Mar-24,4.56,4.64,4.4,4.41,4.0501,"1,665,122"
11-Mar-24,4.68,4.725,4.51,4.56,4.1878,"1,269,290"
4-Mar-24,4.72,4.72,4.59,4.68,4.2981,"1,805,016"
26-Feb-24,4.87,4.87,4.68,4.71,4.3256,"1,359,108"
19-Feb-24,4.82,4.88,4.77,4.86,4.4634,"1,128,140"
12-Feb-24,4.915,4.915,4.79,4.845,4.4496,"1,123,790"
5-Feb-24,4.965,5,4.86,4.91,4.5093,"1,016,294"
29-Jan-24,4.97,5.005,4.845,4.97,4.5644,"1,160,363"
22-Jan-24,4.88,4.98,4.85,4.97,4.5644,"823,802"
15-Jan-24,4.85,4.9,4.85,4.865,4.468,"733,018"
8-Jan-24,4.795,4.9,4.77,4.87,4.4725,"1,210,829"
1-Jan-24,4.79,4.83,4.74,4.8,4.4083,"701,223"
25-Dec-23,4.75,4.83,4.72,4.82,4.4266,"603,626"
18-Dec-23,4.77,4.79,4.7,4.73,4.344,"2,063,209"
11-Dec-23,4.795,4.855,4.75,4.77,4.3807,"999,537"
4-Dec-23,4.75,4.875,4.74,4.815,4.422,"1,433,167"
27-Nov-23,4.69,4.86,4.68,4.76,4.3715,"1,809,436"
20-Nov-23,4.64,4.73,4.61,4.675,4.2935,"1,280,474"
13-Nov-23,4.73,4.79,4.58,4.61,4.2338,"1,501,353"
6-Nov-23,4.68,4.74,4.66,4.71,4.3256,"496,883"
